site,sample,mean,sd
3,64,9.1875,4.13991411612474
5,58,8.39655172413793,3.6028237228567574
2,53,9.660377358490566,4.009332364460233
6,52,8.826923076923077,3.949292087699619
12,47,9.446808510638299,4.190094481856289
7,45,7.488888888888889,3.361697502900893
11,42,8.547619047619047,3.6904780637663372
9,34,10.117647058823529,4.75945442431297
10,33,10.212121212121213,3.998105612017832
8,27,9.814814814814815,4.305962208532553
4,24,9.333333333333334,3.6673253690283385
1,21,7.904761904761905,2.5279391192186944
